800982A0	ov_800982A0
80098810	ov_80098810
80098CE0	ov_80098CE0
80098D30	ov_80098D30
80098DB0	ov_80098DB0
80098F90	ov_80098F90
80099370	ov_80099370
80099450	ov_80099450
80099478	ov_80099478
800998E4	ov_800998E4
8009A1D0	ov_8009A1D0
8009A340	ov_8009A340
8009A3E0	ov_8009A3E0
8009A420	ov_8009A420
8009A450	ov_8009A450
8009A450	ov_rand
8009A480	ov_8009A480
8009A540	ov_8009A540
8009A640	ov_8009A640
8009C1FC	ov_8009C1FC
8009C9D0	ov_8009C9D0
8009CAEC	ov_sync_ok
8009CB80	ov_sync_ok
8010637C	ov_game_stage_main
801063C0	ov_demo_s0
8010641C	ov_demo_s1
80106464	ov_demo_s2
801064E8	ov_demo_s3
801065EC	ov_demo_s6
80106C24	ov_demo_s7_phase
801086e0	ov_game_s48_0
80108720	ov_game_s48_1
80108784	ov_game_s48_2
